"tender_id","title","description","org_chain","publish_date","closing_date","value","status"
"TEND-1000","Tender for Supply of Goods 0","Detailed description for tender 0 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-10","2026-05-13","4066116","Open"
"TEND-1001","Tender for Supply of Goods 1","Detailed description for tender 1 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-16","2026-05-13","4768494","Awarded"
"TEND-1002","Tender for Supply of Goods 2","Detailed description for tender 2 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-06","2026-05-15","3967549","Closed"
"TEND-1003","Tender for Supply of Goods 3","Detailed description for tender 3 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-29","2026-05-20","6696811","Closed"
"TEND-1004","Tender for Supply of Goods 4","Detailed description for tender 4 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-07","2026-05-21","6255918","Awarded"
"TEND-1005","Tender for Supply of Goods 5","Detailed description for tender 5 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-25","2026-05-09","8014422","Open"
"TEND-1006","Tender for Supply of Goods 6","Detailed description for tender 6 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-30","2026-05-13","6897072","Closed"
"TEND-1007","Tender for Supply of Goods 7","Detailed description for tender 7 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-08","2026-05-19","2353157","Open"
"TEND-1008","Tender for Supply of Goods 8","Detailed description for tender 8 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-14","2026-05-17","7332989","Open"
"TEND-1009","Tender for Supply of Goods 9","Detailed description for tender 9 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-19","2026-05-11","294058","Awarded"
"TEND-1010","Tender for Supply of Goods 10","Detailed description for tender 10 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-26","2026-05-11","9220299","Awarded"
"TEND-1011","Tender for Supply of Goods 11","Detailed description for tender 11 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-10","2026-05-08","6054742","Awarded"
"TEND-1012","Tender for Supply of Goods 12","Detailed description for tender 12 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-13","2026-05-13","397137","Awarded"
"TEND-1013","Tender for Supply of Goods 13","Detailed description for tender 13 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-03","2026-05-07","735688","Open"
"TEND-1014","Tender for Supply of Goods 14","Detailed description for tender 14 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-19","2026-05-12","9804750","Awarded"
"TEND-1015","Tender for Supply of Goods 15","Detailed description for tender 15 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-02","2026-05-09","5268443","Open"
"TEND-1016","Tender for Supply of Goods 16","Detailed description for tender 16 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-10","2026-05-21","4165188","Open"
"TEND-1017","Tender for Supply of Goods 17","Detailed description for tender 17 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-08","2026-05-20","9206090","Closed"
"TEND-1018","Tender for Supply of Goods 18","Detailed description for tender 18 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-26","2026-05-09","1597404","Awarded"
"TEND-1019","Tender for Supply of Goods 19","Detailed description for tender 19 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-09","2026-05-13","4372995","Open"
"TEND-1020","Tender for Supply of Goods 20","Detailed description for tender 20 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-03","2026-05-21","8713605","Awarded"
"TEND-1021","Tender for Supply of Goods 21","Detailed description for tender 21 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-19","2026-05-13","1020202","Open"
"TEND-1022","Tender for Supply of Goods 22","Detailed description for tender 22 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-27","2026-05-13","4423394","Closed"
"TEND-1023","Tender for Supply of Goods 23","Detailed description for tender 23 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-04-08","2026-05-10","2639775","Awarded"
"TEND-1024","Tender for Supply of Goods 24","Detailed description for tender 24 with some random text.","Central Govt > Ministry of Commerce > Department of Trade","2026-05-05","2026-05-08","8013623","Awarded"
